order_id,order_date,amount,product_id
1,2025-01-01,250.0,P101
2,2025-01-02,120.0,P102
3,2025-01-03,75.5,P103
4,2025-01-04,300.0,P101
5,2025-01-05,450.0,P104
6,2025-01-06,99.99,P102
7,2025-01-07,150.0,P105
8,2025-01-08,200.0,P106
9,2025-01-09,175.25,P101
10,2025-01-10,350.0,P107
11,2025-01-11,400.0,P108
12,2025-01-12,220.0,P109
13,2025-01-13,135.5,P110
14,2025-01-14,500.0,P104
15,2025-01-15,280.0,P106
16,2025-01-16,199.99,P102
17,2025-01-17,89.75,P103
18,2025-01-18,310.0,P105
19,2025-01-19,275.0,P107
20,2025-01-20,145.0,P101
